original,ex_predicted
'Hard to bear' Berlin attacker is an asylum seeker: Merkel,She said many of the injured were fighting for their lives.
Solar power plants to be installed in Dilli Haats,"The solar plant coming up at Dilli Haat, Pitampura ?"
Air India flight to NY leaves behind all passengers' luggage,The Air India flight is from New Delhi's Indira Gandhi International Airport to New York's Newark Liberty International Airport with a stop over in Mumbai's Chhatrapati Shivaji International Airport.
Bees interrupt funeral in Odisha for over three hours,"An unimaginable, unsual tragedy occurred in Kendrapara district of Odisha when a swarm of bees attacked people attending a funeral at a cremation ground in Thakurhaat village.The bees stung 30 people and injured them badly during the funeral of a 66-year-old man, Gouranga Charan Sahu, which was put to a halt for over three hours with the bees wreaking havoc."
Delhi Police to install HD video cameras in PCR vans,"?The idea is to train our patrol van staff in making videos of crime scene... We cannot use video recordings of the phablets as digital evidence because the quality of video they produce is not good,?"
Kohli equals longest unbeaten streak by an Indian captain,Kohli had made 692 runs against Australia in Australia in 2014-15.Another 93 runs and Kohli will establish a new record of most runs by an Indian captain in a series.
First chikungunya vaccine made from harmless virus,The UTMB researchers used an Eilat virus clone to design a hybrid virus-based vaccine containing chikungunya structural proteins.
Amma supporters make idli weighing 68 kg in Chennai,"One of the most revered leaders, J Jayalalithaa even after her demise, continues to rule the hearts of her millions of supporters."
There's enough cash to last beyond Dec 30: Arun Jaitley,"Even today, RBI has more than adequate cash to last not just till December 30 but even beyond it,"" Jaitley told reporters."
"SRK, Big B, Anushka, Sonam win best acting Stardust Awards",?¼ @karanjohar@aliabbaszafarpic.twitter.com/9dDSIdiMhSEditor's Choice Best Actor of the Year: Shah Rukh Khan for FanEditor's Choice Best Actress of the Year: Sonam Kapoor for NeerjaThank you team bling for everything... but a big shout out to @alisha5dave you're the best manager but a better friend!
Rare venomous snake rescued from a park in Delhi,"a Wildlife SOS official said.Geeta Seshamani, co-founder of Wildlife SOS, told that the exquisite viper is not commonly found in the Delhi-NCR region."
Charge sheet filed against Kejriwal's ex-principal secretary,"The agency said the IAS officer abused his official position by favouring a particular firm while awarding tenders.Besides Kumar, the agency has named eight others and a company in the chargesheet.The CBI had arrested Kumar in the case but later he was released on bail.The CBI's searches at the office of Kumar in December 2015 and later his arrest led to a war of words between the Aam Aadmi Party government in Delhi and the BJP-ruled Centre.After the raids at Kumar's offices in December 2015, Kejriwal directly targeted Prime Minister Narendra Modi.The CBI's initiated its probe in the case after a complaint filed by former Delhi Dialogue Commission member, Ashish Joshi.At the time of his arrest, the AAP government had said the CBI was conducting the probe at the Centre's behest."
Girl dies after being banished to shed for being on periods,"The practice, known as chhaupadi, is a social custom of keeping menstruating girls and women in a narrow shed outside the village, under the ancient Hindu custom which views menstruating girls as unclean."
Fraud worth ?150 cr unearthed in Noida gold jewellery unit,"The mastermind is also believed to have diverted imported gold bars procured under bond from banks/nominated agencies for manufacturing jewellery, the handout read.In multiple searches conducted by DRI on the business and residential premises of the mastermind, a total of 40 kg gold valued Rs12 crore has been seized and the mastermind, who reportedly owned the unit in NSEZ, has been arrested and remanded in judicial custody."
AAP declares Elvis Gomes as its CM candidate in Goa,The announcement was made at a rally at Cuncolim in South Goa by the AAP national convenor and Delhi Chief Minister Arvind Kejriwal.
"NGT orders ?10,000 fine for throwing waste at public places","of in accordance with Solid Waste Management Rules, 2016 so that it does not cause public health hazards."
Delhi man dies after being shot in celebratory firing,"A 50-year-old man succumbed to a bullet injury that he allegedly received in celebratory firing during a wedding function in west Delhi's Nangloi area, police said on Monday.Mohammad Yusuf, who was working as a waiter at the venue, was hit in the neck when the accused, identified as Dharmender, fired from his illegal pistol, eyewitnesses told police."
Indiscipline in armed forces to be viewed ?seriously?: SC,"In its verdict, the apex court held that though Ali was found guilty of deserting the force for a period of five days and not improving his conduct in spite of penalties imposed on him on three earlier occasions, the penalty of dismissal from service is ""excessive and harsh"" and ""in our view, the penalty of compulsory retirement would meet the ends of justice""."
?5 lakh robbed from ATM cash van in east Delhi,"Police said, Abdul Kadir, a cash custodian from the bank, took out a bag full of money from the van and was walking towards the ATM when three men on a bike snatched it from him."
"24 cyclists to pedal 1,500km for human trafficking awareness","From an American Diplomat to investment bankers, college students and young entrepreneurs; 24 cyclists will pedal more than 250 kms every day through five states to create awareness about human trafficking and child labour."
"Delhi govt to test 35,000 students for learning disability"," Around 35,000 students in Delhi government schools will be tested for learning disabilities and provided with special learning support as these students can only identify alphabets despite having cleared Class 5."
Will continue to oppose Pak actors in Indian films: MNS,"Mumbai, Dec 19 (PTI Even as cinemas in Pakistan today began screening Indian movies, over two months after film exhibitors and theatre owners suspended it amidst Indo-Pak tensions, the Maharashtra Navnirmam Sena (MNS) said it will continue to oppose Indian films featuring Pakistani actors."
Do not raise 'Narendra Modi Murdabad' slogans: Rahul Gandhi,"""We have differences of opinion with Modi and the BJP."
Dubai woman has baby from ovary frozen when she was 9,"We know that ovarian tissue transplantation works for older women, but we've never known if we could take tissue from a child, freeze it and make it work again."
Delhi: Man beaten after he blames PM for queues outside ATMs,"Near the ATM, Astik caught hold of cricket stumps and hit Kushwaha in the head thrice."
"Poster of Ranbir, Katrina's 'Jagga Jasoos' revealed","and it is set to release, finally, five years later in 2017.......and the makers of Jagga Jasoos launched the promotions of the film today by sharing the first poster of the Ranbir Kapoor and Katrina Kaif-starrer.Sometimes, the fastest getaway is an Ostrich!"
Girl offers to say 'bong' for Big Ben's chimes during repair,"The Big Ben will go completely silent for a long time as the repairing process goes on.While many weren't affected by this, a young girl named Phoebe was really worried about Radio 4's PM program which starts off only after the Big Ben chimes."
House where Hitler was born to be turned into charity,"Austria's parliament has passed a law allowing authorities to expropriate the house in which Adolf Hitler was born in 1889.The law, passed on Wednesday night, ends years of dispute between the building's owner, Gerlinde Pommer, and the authorities in Braunau am Inn."
U'khand: Muslim govt staff to get break for Friday prayers,"Dehradun, Dec 18 (PTI) A special 90-minute break will be given to the government employees from the Muslim community in Uttarakhand for Friday prayers, official sources said."
98 tigers died across the country in 2016: NTCA,"Environmentalists point out that in such cases, the deaths are considered as unnatural, with poaching as the most common motive.Also Read: Tiger population in Pench reserve risen to 53: SFRI reportThe NTCA has also issued an advisory stating that all tiger deaths will be treated as poaching unless and until proven otherwise."
London's Big Ben to close for visitors for three years,"Also read: Big Ben Kolkata: The London clock tower replica is not a Durga Puja marqueeFrom the tower's fabric to the mechanism of the clock, British Parliament officials are concerned about the condition of the clock."
"Gold worth ?2,700 crore bought in Hyderabad post note ban","All payments were done in cash with demonetised or discontinued currency notes.READ| Huge cash and gold recovered since demonetisationED also suspects that the people, who made the purchases, went underground after the buying spree."
"Sania Mirza brings me good luck, says former world number 1","Former World No 1 tennis player and ex-coach of Serb superstar Novak Djokovic, Boris Becker on Saturday said current top women's doubles player Sania Mirza brings him luck and vice versa.Becker, who is here for the 25k Kolkata marathon, was asked about his association with the Indian players."
"Panchayat secretary gives ?500, ?1,000 notes to pensioners",An FIR has already been filed against Panchayat Secratery Kumar Prasad Gupta.DUESEach old-age pensioner receives Rs 400 every month and the dues have not been cleared since the last six months.
Moti Bagh rape: Constable held for misusing Home Min sticker,"a Union home ministry sticker that was found on a car in which a 20-year-old woman was allegedly raped by a driver in Moti Bagh on Wednesday.Police said when investigation into the rape case was on, an agriculture ministry official sent a complaint, accusing CISF head constable Omkar Singh of misusing the sticker entrusted to him by the ministry.Singh had reportedly passed on the sticker to his son, Mohit Pawar ?"
"Minor drugged, gang raped in East Delhi's New Ashok Nagar","Read: Woman allegedly raped in car in Delhi's Moti Bagh area, accused arrestedAfter the girl regained consciousness, she returned to her home and narrated her ordeal to her uncle and aunt."
Delhi BJP appoints new presidents for all 14 districts,"Although Tiwari said the party had tried to strike a balance by accommodating each section of the society, there has been no representation of Dalit, minorities and women in the panel.Sources said out of 14, five names had strong RSS backing while eight names were recommended by two former Delhi BJP?heads."
CISF to train students to teach Metro manners to commuters,"The Central Industrial Security Force (CISF), responsible for the security in the Delhi metro, will tie up with schools near metro stations and ask students to act as volunteer to ensure discipline and etiquettes in Delhi metro.The CISF has prepared a 16-point pamphlet, which will be distributed among commuters in the metro by the students."
Schumacher's family launches 'Keep Fighting' initiative,"(Also read: Michael Schumacher's health remains private matter: Manager)Schumacher, the most successful F1 driver of all time with 91 wins, turns 48 in January."
Murder accused arrested after 12 years in hiding," A man who was on the run for 12 years after murdering a 65-year-old woman in Delhi was arrested from Dwarka sector 16-A on Saturday.The accused, Raju alias Painter (33), and his three associates - Dharmender, Arun Kumar and Vikas Yadav - had murdered Indira Devi (65) at her Vikaspuri flat late on January 25 night in 2004."
"Who is Anil Dhasmana, the new RAW chief?",Research and Analysis Wing (RAW) Special Director AK Dhasmana has been appointed as the next chief of the country's external intelligence agency.
India among most generous towards refugees: UN,"Although we give refugee cards to displaced people but the government here issues long term visas for them which is very helpful,"" Shimizu said."
"Who is Air Marshal BS Dhanoa, the new Air Force chief?","He has the distinction of having held a number of the important operational appointments including Station Commander of a fighter base and leader of an Indian Military Training Team abroad He has also served as Chief Instructor (Air) at the Defence Services Staff College, Wellington, Assistant Chief of the Air Staff (Intelligence) at Air Headquarters and Senior Air Staff Officer of two operational Commands."
"Bipin Rawat named new Army chief, BS Dhanoa new IAF head","He has the distinction of having held a number of the important operational appointments including Station Commander of a fighter base and leader of an Indian Military Training Team abroad He has also served as Chief Instructor (Air) at the Defence Services Staff College, Wellington, Assistant Chief of the Air Staff (Intelligence) at Air Headquarters and Senior Air Staff Officer of two operational Commands."
Demonetisation has not affected me: Aamir Khan,"So I don't have any black money at all,"" Aamir Khan said at an event in Mumbai.ALSO READ | Focus on national interest, ignore short-term effect of demonetisation, says Aamir KhanALSO READ | Prime Minister Narendra Modi's demonetisation move claims 25 lives in a weekOPINION | Here's why Shah Rukh, Salman, Aamir supporting demonetisation is laughableAamir added that he spends only using credit card and cheque and therefore, lacking cash on account of demonetisation doesn't really affect him much."
Telecom dept to unveil portal on mobile radiation in a month,"Addressing an awareness programme on EMF emissions and telecom towers, the minister said, there are myths about the radiation and its impact on health which need to be eliminated by creating awareness."
Will not accept modifications in Indus Waters Treaty: Pak,"Fearing that India is buying time to complete two disputed water projects, Pakistan made it clear that it would not accept any modifications or changes to the Indus Waters Treaty after New Delhi said on Friday it was ready to bilaterally resolve its differences with Islamabad over the pact's implementation.The treaty, signed in 1960, gives India control over the three eastern rivers of the Indus basin - the Beas, the Ravi and the Sutlej - while Pakistan has the three western rivers- the Indus, the Chenab and the Jhelum.The IWT also sets up a mechanism, the Permanent Indus Commission, which includes a commissioner from each country.Talking to Dawn here on Friday, Special Assistant to Prime Minister Tariq Fatemi said: ""Pakistan will not accept any modifications or changes to the provisions of the Indus Waters Treaty."
Ex-IAF Chief sent to jail till Dec 30 in VVIP chopper scam,"The court will hear their bail plea on December 21.The three accused had been arrested by the CBI last Friday.Also read | VVIP chopper scam: CBI gets 3 more days to quiz ex-IAF chief SP TyagiProducing all the three accused in the VVIP chopper scam in the court, the CBI said, there are incriminating evidence received from Swiss authorities against Tyagi."
Nithari murders: Koli given death penalty for 7th time,The CrPC requires that a trial court ?
I-T dept seizes ?1.4 crore cash in Delhi's Karol Bagh area,"?The seizure of new currency was made in the denomination of Rs 2,000 notes."
West Bengal govt reduces total number of departments,"In a view to curb costs, West Bengal Chief Minister Mamata Banerjee today brought down the number of its departments from 63 to 52 by merging 21 departments into 10."
Demonetisation biggest step in 70 years: Jaitley,"""As far as the decision with regard to currency is concerned, I think it marks a very important beginning: FM Arun Jaitley #DeMonetisationpic.twitter.com/lv5tKxjSdh GST NEXT BIG THINGSpeaking at the FICCI's 89th Annual General Meeting, Finance Minister Arun Jaitley asserted that goods and service tax, slated to come in force from next year, would bring another phase of big economic reforms in the country.READ| Mumbai is 'financially smart' to manage black money, say Income Tax officialsOn 16 Sept 2017, as far as current mode of taxation is concerned, the curtains will be down: FM Arun Jaitley pic.twitter.com/lVR1BFIb0nWATCH:GLOBAL SLOWDOWN REFLECTING IN INDIA In an attempt to dispel worries about decline in GDP growth rate due to demonetisation, Jaitley said that the global slowdown was affecting Indian economy."
"CSE recommends ban on celebs endorsing high sugar, fat foods","The expert committee on Consumer Protection Bill, 2015 has recommended a penalty of Rs 10 lakh and imprisonment of up to two years or both for a first offence by a celebrity responsible for false and misleading claims."
Mumbai ATS seeks Centre's help in tracking ISIS recruit,The ATS has written to Centre requesting them to provide all the information about new ISIS recruit Tabrez Khan.
No Indians in Geoffrey Boycott's Dream XI,"""I can't pick Indians just to please you,"" Boycott told the audience."
Teachers in Maha district get ?900 salary amid cash crunch,The Sholapur district cooperative bank today told the Bombay High Court that it needs nearly Rs 95 crore to pay the salaries of teachers whose accounts are with the bank.
20-year-old woman raped in a car in South Delhi,"A 20-year-old woman was allegedly raped in south Delhi's Moti Bagh by a man posing as a cabbie early Thursday, showing little had changed in the Capital four years after the brutal gang rape of a 23-year-old student shook India.The woman got into a car at 9.30pm on Wednesday and was driven around for two hours before being allegedly raped by the driver in Moti Bagh after midnight, police said."
Modi not aware of history: Sibal on PM's comment on Indira,"Senior Congress leader Kapil Sibal today rebutted Prime Minister Narendra Modi's remarks on former premier Indira Gandhi and accused him of being unaware of the history of the country.Sibal said, ""BJP is not the only nationalist party."
Clashes in Bihar over temple demolition for road widening,Violent clashes took place between police and locals in Patna City area after the district administration demolished a temple for widening of road.
Veeram's song 'We Will Rise' shortlisted for Oscars 2017,Kunal Kapoor's Veeram is one of the most anticipated films of 2017.
AIADMK rejects demand for information on Jaya's treatment,"AIADMK has rejected the demand for issuing a white paper on the treatment given to late chief minister of Tamil Nadu Jayalalithaa.The party spokesperson C Ponnaiyan termed the demand for white paper as a 'planned campaign' against Sasikala Natarajan, the long-time close aide of Jayalalithaa.Earlier, opposition DMK and PMK had demanded a white paper on the treatment given to the former Tamil Nadu chief minister.READ| DMK, PMK demand white paper on treatment given to JayaThe opposition parties said, ""There are apprehensions among the public and party supporters on the matter."
India's engagement with Dalai Lama will hit ties: China,"The Karmapa visited the state on November 30, while the Dalai Lama is likely to in March.ALSO READ |  China tells India to 'not complicate' border issue after Karmapa visit'CHINA IS STRONGLY DISSATISFIED WITH THE VISIT AND FIRMLY OPPOSE IT'Foreign Ministry spokesperson Geng Shuang said on Friday: ""Recently in disregard of Chia's solemn representation and and strong opposition, the Indian side insisted on arranging for the 14th Dalai Lama's visit to the Indian Presidential palace, participation in the event with the Indian President and meeting with President Mukherjee."
Mumbai is financially smart to manage black money: I-T dept,"In another case, Rs 1.10 crore cash was seized from a Shiv Sena Corporator's car at Nallasopara in the outskirts of Mumbai during a search operation conducted by Thane IT officials.READ| Enforcement Directorate nabs Punjab businessman who used 85 bank accounts to launder cash'MUMBAI IS FINANCIALLY SMART'Speaking to Indiatoday.in, the IT officials in Mumbai said that they were perplexed to see that no big seizure of cash had been made from the city."
Rape incidents in Delhi have tripled since Dec 16 gang rape,"Data shows that rape continues to top the city's heinous crime figures, with at least one case registered every four hours.Incidents of rape in Delhi have steadily increased since the incident, rising from 706 in 2012 to 2199 in 2016."
India remains one of fastest-growing nations in world: US,"""India remains one of the fastest-growing countries in the world, with real GDP expanding at 7.3 per cent in the four quarters through 2016:Q3,"" said the Economic Report of the President for the year 2017, which was sent to the Congress."
Nude Ayyappa devotees stopped from worshipping in K'taka,"Their group leader, Ramesh Guruswamy said that this was their way of worshipping Lord Ayyappa."
Delhi Metro stations to get digital walls for video ads,the official said.Read: No Metro fare hike for at least three more monthsAround 10 ad walls of 12x6 feet have been installed at the ITO station.
AIADMK MLAs call for 'Chinnamma' Sasikala to save party,The very next day AIADMK's senior leader Madhusudhanan along with another senior leader Sengottaiyan went to Poes Garden and seemed to have pleaded to Sasikala to accept the party's 'General Secretary' post.
I-T dept seizes ?8.8 crore in new currency in Pune,"New Delhi, Dec 15 (PTI) Income Tax department has seized Rs 10.80 crore cash, of which Rs 8.8 crore is in new notes, after searches on several lockers of a bank in Pune."
"SP, BSP, Cong members caught laundering black money: Report","""It can be one per cent above or below 30,"" Saini said."
Gujarat Cabinet bans hookah bars across the state,"Ahmedabad, Dec 15 (PTI) The Gujarat Cabinet today cleared an Ordinance, which seeks to impose a total ban on hookah bars across the state."
Corruption evidence against Modi bullet-proof: Rahul Gandhi,"He also told the MPs that the revelations will indeed cause an ""earthquake"".ALSO READ: Modi personally involved in corruption, terrified with information I have: Rahul RAHUL RAISES STAKESThough the Congress vice-president did not share the details of the information he had in his possession, he assured them that he had verified the information."
Modi should show his degree to me if it is genuine: Kejriwal,"The nation has not been able to comprehend how a scam of this proportion took place,"" Kejriwal said.The Delhi CM said the people wished to know Modi's educational qualifications."
Hyderabad: 47 minors caught watching porn in police raids,"Also read: Government ropes in Interpol to help crackdown on child pornography""A special drive was carried out on cyber cafes under 17 police station limits with a view to curb cyber offences and restrict minors from watching pornographic and objectionable videos and photographs."
I-T raids are surgical strikes against black money: DEA Secy,"ALSO READ: PM Modi to BJP MPs: Don't call demonetisation surgical strike, only soldiers do that FOCUS ON RURAL INDIAEnumerating the steps taken by the government to fight the cash crunch due to demonetisation of high-value currency, Shaktikanta Das said that of the 2.20 lakh ATMs in the country, more than 2 lakh have been re-calibrated.ALSO WATCH  He said the government is airlifting currency to affected areas with a special emphasis on rural areas."
Gym trainer murders Flipkart delivery man over smartphone,"Nanjundaswamy, a Flipkart employee in Bengaluru, went to a gym to deliver a smartphone but Varun was apparently waiting there with a knife."
"Police recovers jewellery worth ?1 cr, ?64L cash in Delhi","Besides, jewellery valued at Rs 1,06,57,235 has been found."
Time spent by Delhiites on roads has doubled in 6 yrs: Study,"They will also provide suggestions on ways to improve urban infrastructure and encourage the use of public transport.The report has been sent to IIT Delhi for scrutiny by other transport experts.To arrive at these findings, the experts assessed the travel time and average speed of vehicles on five routes linking residential neighbourhoods with corporate hubs over the last six years."
Sushmita shares selfie of her daughters with Ranveer Singh,"Sushmita Sen's daughters Renee and Alisah might be star-daughters but that does not make them immune from fangirling over superstars.Recently, they met the Befikre star Ranveer Singh and boy, were they excited!ALSO READ | There was a phase when I was only interested in no-strings-attached relationships, says Ranveer SinghWATCH | When Ranveer lost to Baba Ramdev in an epic dance battleOPINION | Ranveer-Vaani French kiss for 2 hours and simply annoy you in BefikreSushmita Sen shared the photo of Ranveer and his daughters and wrote that Ranveer went out of his way to make the meeting memorable.â?¤ï¸?â?¤ï¸?â?¤ï¸?ð???"
Govt seeks Interpol's help to curb child pornography,"""IT ministry has approved a formal agreement wherein Department of Telecommunications will obtain list maintained by INTERPOL containing domain names hosting child sexual abuse contents and act as an appropriate agency of the government to direct its licensee ISPs to expeditiously remove or disable access to material found in violation of the IT Act,"" the Centre said in an affidavit submitted to the Supreme Court."
Work on world's largest Hindu temple to begin in 2017,"The complex will comprise 18 temples.It will have a Shiva Linga, 44 feet tall and 33 feet in circumference -- proposed to be the tallest in the world.Also read: Angkor Wat shrine inspired Bihar temple on Cambodian radar Kunal said when work on the temple was to start last year, the Cambodian government raised objections with New Delhi, saying it was a copy of Angkor Wat."
Top Lashkar-e-Taiba commander killed by armed forces in J&K,The security forces blasted the building where he was hiding and firing from.TIP-OFF RECEIVEDSecurity forces had cordoned off Bomai village near Sopore after a tip-off about the presence of a Lashkar militant in a residential house in the town.Sopore encounter #UPDATE: top LeT commander Abu Bakr killed by security forces.
Elected govt must have power: SC on AAP govt's plea,"In his bitter and long tussle with the Centre, Delhi Chief Minister Arvind Kejriwal today got a shot in the arm with the Supreme Court saying an elected government must have power."
Virat Kohli is twice as aggressive as I was: Sourav Ganguly,"(Kohli achieves career-best second spot in ICC Test rankings)Ganguly, during his time as the India captain was also known to be an aggressive leader, famously celebrating India's Natwest triangular Series win in 2002 by taking off his shirt at the Lord's cricket ground."
"After India, Australia may demonetise $100 note","First India, then Venezuela and now Australia is considering the proposal to demonetise its 100 dollar currency note as the country attempts to target tax evaders.While the Narendra Modi-led government has already started its fight against black money in the country, the Australian government is setting up a task force to curb black money and will appoint representatives during its mid-year budget meeting."
"Delhi cop attacked with chilli powder, bricks","?Sensing that the men could attack them, Pawan took out his pistol, made a phone call to Bindapur police station and asked for back-up."
Akshay Kumar's bodyguard dies in train accident,"He was travelling in Karnataka Express from Agra Cantonment station.Speaking to Times of India, station officer of GRP Mathura Junction Mr Mukesh Kumar said, ""At around 8pm, when Karnataka Express was passing by platform number two, Manoj attempted to alight from train which was still moving."
"Indian defence forces to be under US scrutiny, claims CPI(M)","""The country can see the US side of the deal by reading the 2017 NDAA, but remains ignorant of the Indian commitment as a Major Defense Partner of the United States,"" CPI(M) General Secretary Sitaram Yechury said."
Selfie helps in busting gang of women pickpockets in Delhi,"It was a casual on-metro selfie that a US-based NRI woman had clicked which helped the CISF recover her stolen gold jewellery worth Rs 22 lakh and bust a gang of women pickpockets from a Metro station in the Capital.The CISF on Tuesday said they nabbed six alleged women pickpockets at a station in Delhi who used to operate in crowded areas and target the metro travellers.Nilam Kumari, the California-based NRI software engineer, had on December 9 filed a complaint that her jewellery bag was stolen near Central Secretariat station when she was travelling with her husband, CISF officials said."
Jews world's best-educated religious group: Study,"Although overall a much higher proportion of women had received no formal education, and those that had generally spent fewer years in school, the gap was shrinking with successive generations.But among Hindus, there was still an 18-point gap between the youngest men and women, with 38% of women having no formal education compared with 20% of men.The gender gap among the youngest Muslims was 10 points, with 33% of women not going to school compared with 23% of men.The religiously unaffiliated had closed the gap within three generations, although there were still 2% of men and women having no formal education.In higher education, Jews strikingly reversed the gender gap."
None of mobile payment apps in India fully secure: Qualcomm,"While government is pushing for digital payments through mobile phones, chipset maker Qualcomm said that wallets and mobile banking applications in India are not using hardware level security which can make online transactions more secure."
I was in no-strings-attached relationships: Ranveer,"Here's what Deepika's dad has to say When asked about his frivolous relationships, Ranveer in a interview to Filmfare said, ""There was a phase in my life where I was only in no-strings-attached relationships."
NGO files PIL in SC demanding CBI probe into Jaya's death,"We got this from doctors who know Last week, senior Tamil actor Gautami Tadimalla had written to Prime Minister Narendra Modi, raising questions about the ""secrecy"" maintained by the Tamil Nadu government during Jayalalithaa's treatment.ALSO READ: How did Jayalalithaa die?"
2 Mumbai kids die after soldier's wife runs car over them,"As the boys were riding in front of the car, the accused Lance Naik Santosh asked his wife Sangita to apply brakes, but instead, she applied the accelerator."
Pak Army called to disperse mob attacking Ahmadi Mosque,"The government of Punjab today sent in the army which managed to disperse the crowd .RESPONSEThe provincial government claimed that a misunderstanding led to the escalation of violence and that it  had previously directed the Home Department to address the situation.Also read: Watch: Pakistani journalist threatens PM Modi, says Indian forces are intruding The Ahmedi Muslim community which is a minority in Pakistan has come under attack from Sunni extremist groups and mobs several times in the recent past."
Those disrupting Parliament should be suspended: Tharoor,"The Congress leader also hit out at BJP and said the party had disrupted the House, when it was in opposition and had now become ""high advocates of Parliament proceedings."""
Wonder Woman loses job as UN ambassador,The campaign aimed to harness Wonder Woman's popularity to allow the UN to target new audiences with its messages on equality for women and girls.The angry response in some quarters prompted the UN to make celebrating the achievements of ?real-life Wonder Women?
Amsterdam café gives discounts in return for plastic wastes,"says Francesca Miazzo, founder of the Cities Foundation.Broader research to date suggests schemes that reward residents to recycle have mixed long-term results."
Maha govt committed to improve citizens' quality of life: CM,"Mumbai, Dec 12 (PTI) Maharashtra Chief Minister Devendra Fadnavis today said his government was committed to give a new face to the cities and improve quality of life of citizens in the state."
Karisma plans to move in with rumoured boyfriend: Report,Buzz has it that Karisma and Sandeep have been going strong for a while now.
People have become victims of a visionless policy: Mamata,"West Bengal Chief Minister Mamata Banerjee on Tuesday termed demonetisation a ""setback"" for commoners and workers, saying the ""visionless policy"" has claimed crores of ""victims""."
"?60 cr cash, 245 kg gold seized at 10 airports post note ban","In a massive crackdown against black money since demonetisation of old high-currency notes came into force, the Central Industrial Security Force (CISF) has seized over Rs 60 crore cash and gold weighing 245 kg from 10 major airports across the country.According to documents accessed exclusively by India Today, a special surveillance operation was initiated by the CISF and the intelligence units of the Income Tax department and the interceptions have been made at Delhi, Mumbai, Kolkata, Guwahati, Chennai, Patna, Ahmedabad, Nagpur, Dimapur,and Pune airports since November 10.Also read | Venkaiah says Centre has no plans to rework demonetisation strategyThe total cash and gold seized from November 10 to December 8, 2016 is about Rs 60 crore."
Syrians in Aleppo post 'goodbye messages' on Twitter,"While the Syrian channels portray a pretty picture of the situation showing residents celebrating as the Syrian army take over a neighborhood, many civilians are tweeting their final goodbyes on the social media as a cry for help."
"Minor repeatedly gang raped, blackmailed with video clip","A 15-year-old girl was repeatedly being gang raped by four men, including a local builder, at Jamia Nagar area of Delhi, city police said on Monday.Police said the assault on the girl first took place in July 2016 when the accused, identified as 40-year-old Sajid Khan, a resident of Shaheen Bagh area, raped the victim in his flat.The victim is a Class 9 student in a government school."
SDMC to hire monkey catchers on contract for ?18k salary,said a senior SDMC official.
13th 'Santa Speedo Run' held in Budapest,2016 marks the 13th anniversary of Santa Speedo Run in Budapest.
South Delhi Municipal Corp to start e-toll collection,"?It will work faster, compared to the manual process of collecting toll tax and also help reduce traffic jams,?"
Leopard caught in Delhi's biodiversity park released in UP,"Shukla said.Read: Leopard caught in Delhi may be moved to Shivalik ranges, experts unhappyBefore being released, the leopard underwent a series of medical tests in the Delhi Zoo.The leopard's presence in the Yamuna biodiversity park had cheered wildlife enthusiasts and was being seen as an achievement considering wild cats had completely disappeared from the region.But the Delhi government decided to trap and relocate it saying it may pose threat to villagers in the vicinity."
China's richest man looks for successor after son refuses,"Wang Jianlin, 62, founder and chairman of Dalian Wanda Group Co, whose business includes shopping malls, theme parks, sports clubs and cinemas, said he is most likely to pick from a group of professional managers to take over the running of his business."
"Note ban a case of khoda pahaad, nikli chuhiya: Chidambaram","Former Finance Minister P Chidambaram, considered one of the finest minds in his party, today called the banning of Rs 500 and Rs 1000 notes a ""scam"" and claimed it has broken the back of the poor."
?93 L in new notes seized from B'luru note conversion racket,"Bengaluru, Dec 13 (PTI) Unearthing a racket involved in illegal conversion of demonetised notes, the ED has arrested seven alleged middlemen and seized Rs 93 lakh in new currency in Karnataka as part of its money laundering probe."
7 held for converting old notes into new in Bengaluru,"Seven people, including a hawala operator, were arrested in Bengaluru today as part of a racket that converted black money in banned Rs 500 and Rs 1000 notes into the new Rs 2000 currency notes.Rs 93 lakh in new currency was found with the middlemen after multiple government agencies raided them."
"?2,000 notes to be phased out within 5 years: RSS ideologue","""But before that, you will withdraw Rs 2,000 notes."
Pilot had told about chopper's crash landing to ATC: Report,"A team of Aircraft Accident Investigation Bureau (AAIB), the apex aircraft investigation body, today reached the helicopter crash site in the Aarey jungle, in Goregaon.The Robinson R44 Astro helicopter had crashed on Sunday afternoon, killing Captain PK Mishra and critically injuring three others."
India world's 4th most vacation deprived country: Report,The report revealed that 40 per cent Indians dont use all vacation days as work schedule does not allow for vacation or dont have enough staff to cover and 32 per cent are not able to take vacation days due to personal schedule.
Why was India's capital shifted from Calcutta to Delhi?,The new capital and its imposing buildings would come to define Delhi for the next 100 years.
"Jaipur bank CEO goes missing after I-T raid, ?1.56 cr seized","By the time the raids were over, Rs 1.56 crore in cash and jewellery worth Rs 50 lakh had been seized from the bank's premises.ALSO WATCH The bank's CEO, 38-year-old Keshav Badaya, handles 14 branches."
I don't believe in playing sarcastic mind games: Virat Kohli,"Ashwin told me on the ground, I had no clue about it."
Govt to hold chaupals about cashless economy for minorities,"More than a month after demonetisation was launched, the Narendra Modi government will make attempts to sensitise the minorities about the merits of cashless economy.Minority Affairs Minister Mukhtar Abbas Naqvi today said the Centre will organise massive cashless chaupals in areas with significant population of minority communities."
Letter threatening to bomb Howrah railway station received,"The letter was received by the office of the general manager of Eastern Railway.ALSO READ: US investigative agency FBI in Kolkata to interrogate ISIS terrorist Musa""A letter, addressed to the GM, was received on Friday afternoon."
